15:44:49,Aluminum
15:44:49,Plastic
15:44:49,Plastic
15:44:49,Paper
15:44:49,Landfill
15:44:49,Landfill
15:44:49,Plastic
15:44:49,Plastic
15:44:49,Plastic
15:44:49,Plastic
15:44:49,Aluminum
15:44:49,Paper
15:44:49,Aluminum
15:44:49,Paper
15:44:49,Aluminum
15:44:49,Landfill
15:44:49,Landfill
15:44:49,Paper
time,command
16:37:34,Aluminum
16:38:55,Aluminum
16:41:25,Aluminum
16:41:25,Plastic
16:41:25,Paper
16:41:25,Landfill
time,command
16:42:45,Plastic
16:42:45,Paper
16:42:45,Aluminum
16:42:45,Landfill
16:42:45,Aluminum
16:42:45,Plastic
16:42:45,Paper
16:42:45,Aluminum
16:42:45,Plastic
16:42:45,Paper
16:42:45,Landfill
16:42:45,Landfill
16:42:45,Paper
16:42:45,Plastic
16:42:45,Aluminum
16:42:45,Plastic
16:42:45,Paper
16:42:45,Landfill
16:42:45,Aluminum
16:42:45,Plastic
16:42:45,Paper
16:42:45,Landfill
16:42:45,Plastic
16:42:45,Aluminum
16:42:45,Paper
16:42:45,Landfill
16:42:45,Landfill
time,command
